BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
4,4238,1,FLUSHING AIRPORT,2387 LINDEN PLACE,DSBS,DEPT OF SMALL BUSINESS SERVICES,T1,"AIRPORT,AIR FIELDS, TERMINALS",435,24,46300,I,60,80,4800,1,1,7,19,DANIEL HALLORAN,M2-1,,CP,4042380001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,14260,1,JFK AIRPORT,14 SOUTH CONDUIT BOULEVARD,JOINT,JOINT JURIS AMONG CITY AGENCIES,T1,"AIRPORT,AIR FIELDS, TERMINALS",,,213897578,I,,,14745183,1,3,83,31,"JAMES SANDERS, JR",M1-1,,,4142600001,Y,,DOT,O,NO USE-VACANT LAND,,
4,4278,19,,0 134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T1,"AIRPORT,AIR FIELDS, TERMINALS",376,259,73860,I,60,80,5450,1,1,7,19,DANIEL HALLORAN,M2-1,,CP,4042780019,Y,,DSBS,O,NO USE-VACANT LAND,,
4,15910,7,,6512 BEACH   66 STREET,MIXED,CITY AND NON-CITY OWNERSHIP,U1,"BRIDGES, TUNNELS, HIGHWAYS",252,115,6360,I,,,,,,14,31,"JAMES SANDERS, JR",R6,C2-4,,4159100007,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,1476,78,WILLOW BROOK CEMETERY,WILLOWBROOK RD,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,40,100,4000,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5014760078,,,DCAS,O,NO USE-VACANT LAND,,
2,4575,1,,3001 COLDEN AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,100,41,4150,,,,,,,12,12,LARRY B. SEABROOK,R5,,,2045750001,,,DCAS,O,NO USE-VACANT LAND,,
3,8218,26,INDIAN CEMETERY,E 91 ST,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,119,156,18782,,,,,,,18,46,LEWIS A. FIDLER,R4-1,,,3082180026,,,DCAS,O,NO USE-VACANT LAND,,
4,7840,200,,77 AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,72,149,10900,,,,,,,11,23,MARK WEPRIN,R2,,,4078400200,,,DCAS,O,NO USE-VACANT LAND,,
3,8218,165,INDIAN CEMETERY,E 92 ST,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,50,5,40,I,,,,,,18,46,LEWIS A. FIDLER,R4-1,,,3082180165,,,DCAS,O,NO USE-VACANT LAND,,
4,893,200,RAPELJE CEMETERY,19 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z8,CEMETERIES,58,52,,I,,,,,,1,22,"PETER F. VALLONE, JR",R5,,,4008930200,,,DCAS,O,NO USE-VACANT LAND,,
